video_path,label
dataset_compressed\accident\003.mp4,1
dataset_compressed\accident\04.mp4,1
dataset_compressed\accident\1.mp4,1
dataset_compressed\accident\10.mp4,1
dataset_compressed\accident\100.mp4,1
dataset_compressed\accident\101.mp4,1
dataset_compressed\accident\102.mp4,1
dataset_compressed\accident\103.mp4,1
dataset_compressed\accident\104.mp4,1
dataset_compressed\accident\105.mp4,1
dataset_compressed\accident\106.mp4,1
dataset_compressed\accident\107.mp4,1
dataset_compressed\accident\108.mp4,1
dataset_compressed\accident\109.mp4,1
dataset_compressed\accident\11.mp4,1
dataset_compressed\accident\110.mp4,1
dataset_compressed\accident\111.mp4,1
dataset_compressed\accident\112.mp4,1
dataset_compressed\accident\113.mp4,1
dataset_compressed\accident\114.mp4,1
dataset_compressed\accident\115.mp4,1
dataset_compressed\accident\116.mp4,1
dataset_compressed\accident\117.mp4,1
dataset_compressed\accident\118.mp4,1
dataset_compressed\accident\119.mp4,1
dataset_compressed\accident\12.mp4,1
dataset_compressed\accident\120.mp4,1
dataset_compressed\accident\121.mp4,1
dataset_compressed\accident\122.mp4,1
dataset_compressed\accident\123.mp4,1
dataset_compressed\accident\124.mp4,1
dataset_compressed\accident\125.mp4,1
dataset_compressed\accident\126.mp4,1
dataset_compressed\accident\127.mp4,1
dataset_compressed\accident\128.mp4,1
dataset_compressed\accident\129.mp4,1
dataset_compressed\accident\13.mp4,1
dataset_compressed\accident\130.mp4,1
dataset_compressed\accident\131.mp4,1
dataset_compressed\accident\132.mp4,1
dataset_compressed\accident\133.mp4,1
dataset_compressed\accident\134.mp4,1
dataset_compressed\accident\135.mp4,1
dataset_compressed\accident\136.mp4,1
dataset_compressed\accident\137.mp4,1
dataset_compressed\accident\138.mp4,1
dataset_compressed\accident\139.mp4,1
dataset_compressed\accident\14.mp4,1
dataset_compressed\accident\140.mp4,1
dataset_compressed\accident\141.mp4,1
dataset_compressed\accident\142.mp4,1
dataset_compressed\accident\143.mp4,1
dataset_compressed\accident\144.mp4,1
dataset_compressed\accident\145.mp4,1
dataset_compressed\accident\146.mp4,1
dataset_compressed\accident\147.mp4,1
dataset_compressed\accident\148.mp4,1
dataset_compressed\accident\149.mp4,1
dataset_compressed\accident\15.mp4,1
dataset_compressed\accident\150.mp4,1
dataset_compressed\accident\151.mp4,1
dataset_compressed\accident\152.mp4,1
dataset_compressed\accident\153.mp4,1
dataset_compressed\accident\154.mp4,1
dataset_compressed\accident\155.mp4,1
dataset_compressed\accident\156.mp4,1
dataset_compressed\accident\157.mp4,1
dataset_compressed\accident\159.mp4,1
dataset_compressed\accident\16.mp4,1
dataset_compressed\accident\160.mp4,1
dataset_compressed\accident\161.mp4,1
dataset_compressed\accident\162.mp4,1
dataset_compressed\accident\163.mp4,1
dataset_compressed\accident\164.mp4,1
dataset_compressed\accident\165.mp4,1
dataset_compressed\accident\166.mp4,1
dataset_compressed\accident\167.mp4,1
dataset_compressed\accident\168.mp4,1
dataset_compressed\accident\169.mp4,1
dataset_compressed\accident\17.mp4,1
dataset_compressed\accident\170.mp4,1
